sample_id,modality,subject_id,session_id,split,source_file,window_index,window_start_ms,window_end_ms,duration_ms,label_class,label_id,label_scheme,valid,valid_ratio,mask,feature_path,feature_shape,feature_dtype,extractor_name,extractor_version,error
01_P01_20231111_09_31_43_12,video,P01,P01_20231111_0931_43,val,"[""Upper_body_video_01/01_P01_20231111_09_31_43_12.mp4""]",0,0,10000,10000,No task,0,dcpt_video_6c_v1,true,1.000000,video_features_v1/01_P01_20231111_09_31_43_12.npz::valid_mask,video_features_v1/01_P01_20231111_09_31_43_12.npz,"[10, 512]",float32,torchvision_r3d_18,0.24.1_kinetics400_v1,
01_P01_20231111_09_35_02_12,video,P01,P01_20231111_0935_02,val,"[""Upper_body_video_01/01_P01_20231111_09_35_02_12.mp4""]",0,0,10000,10000,No task,0,dcpt_video_6c_v1,true,1.000000,video_features_v1/01_P01_20231111_09_35_02_12.npz::valid_mask,video_features_v1/01_P01_20231111_09_35_02_12.npz,"[10, 512]",float32,torchvision_r3d_18,0.24.1_kinetics400_v1,
01_P01_20231111_09_38_03_13,video,P01,P01_20231111_0938_03,val,"[""Upper_body_video_01/01_P01_20231111_09_38_03_13.mp4""]",0,0,10000,10000,No task,0,dcpt_video_6c_v1,true,1.000000,video_features_v1/01_P01_20231111_09_38_03_13.npz::valid_mask,video_features_v1/01_P01_20231111_09_38_03_13.npz,"[10, 512]",float32,torchvision_r3d_18,0.24.1_kinetics400_v1,
01_P01_20231111_09_45_07_13,video,P01,P01_20231111_0945_07,val,"[""Upper_body_video_01/01_P01_20231111_09_45_07_13.mp4""]",0,0,10000,10000,No task,0,dcpt_video_6c_v1,true,1.000000,video_features_v1/01_P01_20231111_09_45_07_13.npz::valid_mask,video_features_v1/01_P01_20231111_09_45_07_13.npz,"[10, 512]",float32,torchvision_r3d_18,0.24.1_kinetics400_v1,
01_P01_20231111_09_49_13_12,video,P01,P01_20231111_0949_13,val,"[""Upper_body_video_01/01_P01_20231111_09_49_13_12.mp4""]",0,0,10000,10000,No task,0,dcpt_video_6c_v1,true,1.000000,video_features_v1/01_P01_20231111_09_49_13_12.npz::valid_mask,video_features_v1/01_P01_20231111_09_49_13_12.npz,"[10, 512]",float32,torchvision_r3d_18,0.24.1_kinetics400_v1,
01_P02_20231114_13_59_17_11,video,P02,P02_20231114_1359_17,train,"[""Upper_body_video_01/01_P02_20231114_13_59_17_11.mp4""]",0,0,10000,10000,No task,0,dcpt_video_6c_v1,true,1.000000,video_features_v1/01_P02_20231114_13_59_17_11.npz::valid_mask,video_features_v1/01_P02_20231114_13_59_17_11.npz,"[10, 512]",float32,torchvision_r3d_18,0.24.1_kinetics400_v1,
01_P02_20231114_14_01_30_14,video,P02,P02_20231114_1401_30,train,"[""Upper_body_video_01/01_P02_20231114_14_01_30_14.mp4""]",0,0,10000,10000,No task,0,dcpt_video_6c_v1,true,1.000000,video_features_v1/01_P02_20231114_14_01_30_14.npz::valid_mask,video_features_v1/01_P02_20231114_14_01_30_14.npz,"[10, 512]",float32,torchvision_r3d_18,0.24.1_kinetics400_v1,
01_P02_20231114_14_06_27_18,video,P02,P02_20231114_1406_27,train,"[""Upper_body_video_01/01_P02_20231114_14_06_27_18.mp4""]",0,0,10000,10000,No task,0,dcpt_video_6c_v1,true,1.000000,video_features_v1/01_P02_20231114_14_06_27_18.npz::valid_mask,video_features_v1/01_P02_20231114_14_06_27_18.npz,"[10, 512]",float32,torchvision_r3d_18,0.24.1_kinetics400_v1,
01_P03_20231114_15_40_02_43,video,P03,P03_20231114_1540_02,val,"[""Upper_body_video_01/01_P03_20231114_15_40_02_43.mp4""]",0,0,10000,10000,No task,0,dcpt_video_6c_v1,true,1.000000,video_features_v1/01_P03_20231114_15_40_02_43.npz::valid_mask,video_features_v1/01_P03_20231114_15_40_02_43.npz,"[10, 512]",float32,torchvision_r3d_18,0.24.1_kinetics400_v1,
01_P03_20231114_15_41_47_22,video,P03,P03_20231114_1541_47,val,"[""Upper_body_video_01/01_P03_20231114_15_41_47_22.mp4""]",0,0,10000,10000,No task,0,dcpt_video_6c_v1,true,1.000000,video_features_v1/01_P03_20231114_15_41_47_22.npz::valid_mask,video_features_v1/01_P03_20231114_15_41_47_22.npz,"[10, 512]",float32,torchvision_r3d_18,0.24.1_kinetics400_v1,
